pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
8.9,10566.0,5659.0,8.9302,143.2063047,0.867,264.78,12.0,CONFIRMED,KEPLER
0.79,55.8,5659.0,3.262,6.164876,1.012,264.78,12.0,CONFIRMED,KEPLER
12.19,20280.0,5659.0,6.6188,60.32494216,0.867,264.78,12.0,CONFIRMED,KEPLER
1.91,488.0,5659.0,4.803,29.1598615,0.867,264.78,12.0,CONFIRMED,KEPLER
25.69,816.1,5659.0,2.1541,1.540397253,0.915,264.78,12.0,FALSE POSITIVE,KEPLER
1.7,589.2,5659.0,5.414,2.99025443,0.731,264.78,12.0,FALSE POSITIVE,KEPLER
11.3,15044.0,5659.0,1.9604,1.594745374,0.893,264.78,12.0,CONFIRMED,KEPLER
2.5,1008.7,5659.0,2.335,4.783002698,0.807,264.78,12.0,CONFIRMED,KEPLER
3.41,2105.5,5659.0,4.0595,20.50588921,0.761,264.78,12.0,CONFIRMED,KEPLER
2.03,1632.6,5659.0,1.9104,3.340218842,0.493,264.78,12.0,CONFIRMED,KEPLER
30.26,1339.2,5659.0,2.0067,2.507089906,0.939,264.78,12.0,FALSE POSITIVE,KEPLER
3.12,893.6,5659.0,4.4056,18.64932728,1.053,264.78,12.0,CONFIRMED,KEPLER
1.7,140.7,5659.0,4.1654,4.90144976,1.402,264.78,12.0,CONFIRMED,KEPLER
2.76,418.0,5659.0,4.793,9.75192101,1.053,264.78,12.0,CONFIRMED,KEPLER
4.02,993.0,5659.0,5.794,38.5576546,1.053,264.78,12.0,CONFIRMED,KEPLER
11.58,22335.0,5659.0,2.59959,3.525632539,0.793,264.78,12.0,CONFIRMED,KEPLER
7.61,4523.6,5659.0,2.9315,34.84398644,0.871,264.78,12.0,CANDIDATE,KEPLER
5.52,2472.1,5659.0,3.5957,7.748094239,1.085,264.78,12.0,CONFIRMED,KEPLER
1.8,1182.3,5659.0,3.827,23.96793669,0.524,264.78,12.0,CONFIRMED,KEPLER
1.82,824.3,5659.0,1.3421,8.29561738,0.524,264.78,12.0,CONFIRMED,KEPLER
2.1,1558.0,5659.0,2.2736,8.11437482,0.517,264.78,12.0,CONFIRMED,KEPLER
27.5,82872.0,5659.0,4.34617,38.036729482,0.932,264.78,12.0,FALSE POSITIVE,KEPLER
13.65,616.0,5659.0,5.0642,3.747838198,0.826,264.78,12.0,FALSE POSITIVE,KEPLER
2.89,430.2,5659.0,6.0995,14.74914825,1.402,264.78,12.0,CONFIRMED,KEPLER
3.38,1175.4,5659.0,4.3791,21.81295996,0.999,264.78,12.0,CONFIRMED,KEPLER
10.34,15148.0,5659.0,3.3148,7.91936937,0.776,264.78,12.0,FALSE POSITIVE,KEPLER
72.77,8098.0,5659.0,1.8606,1.028436523,0.99,264.78,12.0,CANDIDATE,KEPLER
11.01,15337.0,5659.0,3.3169,15.37562369,0.833,264.78,12.0,CONFIRMED,KEPLER
2.11,887.9,5659.0,3.161,8.10363271,0.732,264.78,12.0,CONFIRMED,KEPLER
1.46,417.5,5659.0,2.506,4.71510843,0.732,264.78,12.0,CONFIRMED,KEPLER
2.44,780.7,5659.0,2.9721,6.365839713,0.849,264.78,12.0,CONFIRMED,KEPLER
3.86,962.4,5659.0,3.065,5.97581754,0.997,264.78,12.0,FALSE POSITIVE,KEPLER
26.25,1177.9,5659.0,4.7211,2.446737317,0.863,264.78,12.0,FALSE POSITIVE,KEPLER
8.99,10859.0,5659.0,1.8411,3.04033046,0.791,264.78,12.0,CONFIRMED,KEPLER
5.0,3081.4,5659.0,3.897,15.33528675,0.817,264.78,12.0,CONFIRMED,KEPLER
1.06,50.0,5659.0,4.377,7.95825328,1.402,264.78,12.0,CONFIRMED,KEPLER
6.5,5073.8,5659.0,5.176,31.33046135,0.817,264.78,12.0,CONFIRMED,KEPLER
12.28,16228.0,5659.0,3.831,3.9043425,0.898,264.78,12.0,FALSE POSITIVE,KEPLER
17.61,44791.0,5659.0,3.49949,9.286358079,0.821,264.78,12.0,FALSE POSITIVE,KEPLER
31.44,2453.9,5659.0,2.1862,3.951405455,0.869,264.78,12.0,FALSE POSITIVE,KEPLER
7.89,3341.8,5659.0,8.2183,23.65369415,1.384,264.78,12.0,CONFIRMED,KEPLER
3.06,504.6,5659.0,6.7372,13.23352214,1.384,264.78,12.0,CONFIRMED,KEPLER
2.32,285.0,5659.0,4.9843,6.15560285,1.384,264.78,12.0,CONFIRMED,KEPLER
1.62,115.9,5659.0,3.388,2.090811305,1.384,264.78,12.0,CONFIRMED,KEPLER
1.53,120.3,5659.0,3.5797,3.180027898,1.402,264.78,12.0,CONFIRMED,KEPLER
2.67,370.3,5659.0,7.159,50.4467417,1.384,264.78,12.0,CONFIRMED,KEPLER
2.35,1037.3,5659.0,2.9076,11.76307164,0.756,264.78,12.0,CONFIRMED,KEPLER
